1,0.562389118864577,905,164,390,0,46,9499,27602,2894,"carry"
3,0.537748866548393,316,110,367,0,21,8085,12529,885,"offlaner"
2,0.689138576779026,530,269,667,0,12,14055,21014,3675,"carry"
1,0.340626848018924,353,85,416,10,25,8347,13996,4730,"hard_support"
2,0.264537748866548,287,4,255,3,0,6198,11379,204,"midlaner"
1,0.616597673960181,620,293,605,0,66,23880,24583,8153,"carry"
2,0.293908929627439,214,45,273,2,6,3689,8485,0,"carry"
3,0.292529075497733,171,21,162,15,2,6217,6780,271,"roaming_support"
1,0.545633747289572,436,278,492,0,46,12596,17287,1171,"offlaner"
2,0.613049477626651,416,215,455,0,28,16045,16494,1038,"carry"
3,0.707470924502267,377,215,365,0,26,8893,14948,1333,"midlaner"
2,0.32722255075892,206,34,257,20,28,15758,9537,662,"midlaner"
2,0.368815296668638,396,117,497,0,14,25385,18334,404,"midlaner"
3,0.626059530849596,354,185,532,0,106,18240,16390,875,"carry"
2,0.796964320914646,564,368,579,0,108,38936,26113,10138,"midlaner"
1,0.775675142913463,567,394,583,0,117,36503,26252,6162,"carry"
3,0.455351862803075,423,230,464,0,31,12745,19584,2346,"carry"
2,0.362507392075695,216,12,241,11,1,2355,10000,257,"midlaner"
2,0.826926867731126,560,438,726,0,172,20966,25928,6007,"midlaner"
1,0.664104080425784,389,220,345,0,70,14673,18010,1933,"carry"
1,0.221368026808595,230,41,251,7,0,13194,10649,101,"roaming_support"
3,0.448649714173073,375,167,523,0,39,15627,17806,68,"offlaner"
2,0.691109796964321,736,524,681,0,77,22020,34947,9885,"midlaner"
1,0.238911886457717,278,82,324,15,9,5181,13200,4924,"hard_support"
2,0.227281687364479,273,6,338,4,0,7287,12962,273,"midlaner"
1,0.476443918785728,528,287,583,0,55,15582,25071,578,"carry"
3,0.426966292134831,267,86,293,5,16,6407,12678,12,"roaming_support"
1,0.277744924108023,213,73,233,14,26,8316,10113,372,"carry"
1,0.72876010250345,434,306,442,0,92,10446,20607,3386,"carry"
2,0.762270845653459,433,302,455,0,12,14566,20560,847,"midlaner"
3,0.617977528089888,409,284,368,0,112,17759,19420,1922,"offlaner"
1,0.419672777449241,209,57,218,10,11,14670,9913,95,"roaming_support"
1,0.732111176818451,376,303,452,0,74,25871,17834,2669,"carry"
2,0.824167159471713,590,500,559,0,120,15580,27985,3362,"midlaner"
2,0.400946185688941,171,14,180,8,4,7908,8111,0,"midlaner"
3,0.564163217031342,210,85,237,0,22,13288,9961,0,"carry"
1,0.295091661738616,301,80,464,16,23,16248,14277,621,"hard_support"
2,0.422826729745713,298,66,377,2,14,12365,14135,173,"midlaner"
1,0.607727183126355,514,285,463,0,65,16152,24380,14527,"carry"
2,0.47210723437808,369,176,453,0,69,12384,17502,646,"midlaner"
2,0.60950128129312,590,397,614,0,115,22204,27985,3623,"carry"
3,0.510348905972797,333,141,342,0,21,10201,12121,0,"carry"
1,0.658387541888429,442,249,388,0,46,8660,16088,3086,"carry"
2,0.714173073132269,533,291,575,0,36,18404,19401,239,"midlaner"
3,0.353834023260398,207,31,232,6,7,5856,7534,25,"roaming_support"
3,0.32328011038833,173,33,232,10,2,4563,6297,25,"roaming_support"
2,0.305736250739208,303,81,250,14,45,4895,11029,61,"midlaner"
1,0.390892962743938,348,88,395,0,16,19422,12667,298,"roaming_support"
3,0.575793416124581,424,132,422,0,28,21267,15433,3876,"carry"
2,0.621328602404889,568,323,654,0,121,21154,20675,2779,"carry"
1,0.827912477823773,630,310,595,0,41,23131,22932,10306,"midlaner"
2,0.499507194953676,255,116,230,2,77,10600,8512,800,"midlaner"
3,0.546027991326631,333,166,362,0,49,5238,11116,791,"carry"
2,0.761482357579342,460,229,499,0,22,23559,15356,1223,"midlaner"
3,0.436231027005717,193,15,227,11,0,2685,6442,0,"offlaner"
2,0.362507392075695,289,52,333,13,31,11374,9647,4573,"midlaner"
2,0.417307313226887,339,35,412,0,10,14531,11316,1343,"midlaner"
3,0.732702542874039,589,222,553,0,42,22926,19662,11398,"carry"
1,0.492213680268086,377,119,400,0,82,13272,12585,476,"offlaner"
2,0.638872462054011,530,230,607,0,52,25030,17693,2046,"carry"
3,0.599448058348117,380,192,399,0,22,8730,12318,283,"offlaner"
2,0.814902424600828,422,204,456,0,36,7178,13679,1138,"midlaner"
3,0.479203627045141,219,43,294,5,5,5448,7099,28,"offlaner"
2,0.264734870885078,193,29,236,7,3,6185,6256,0,"carry"
1,0.679676719889612,328,167,329,0,71,6813,10632,127,"carry"
2,0.400354819633353,281,103,381,13,85,3971,9109,0,"midlaner"
2,0.395623891188646,340,64,440,1,19,7346,11021,217,"midlaner"
3,0.758722649319929,500,228,612,0,31,19909,16208,1702,"midlaner"
1,0.591760299625468,457,148,637,0,44,15309,14814,603,"offlaner"
2,0.651094027202839,857,439,947,0,205,16390,27781,4420,"carry"
1,0.338852749852158,214,24,244,4,0,3411,6765,0,"roaming_support"
2,0.637689729942835,488,226,460,0,58,12989,15428,209,"carry"
1,0.234575202050069,185,21,199,10,17,7001,5849,17,"hard_support"
1,0.649319929036073,404,169,460,0,62,8590,12773,235,"midlaner"
3,0.426177804060714,254,64,315,0,3,5121,8030,0,"offlaner"
4,0.45338064261778,338,90,362,4,28,4480,10686,314,"roaming_support"
1,0.303173664498324,271,38,321,10,4,6270,8568,934,"roaming_support"
1,0.786516853932584,595,214,608,0,24,15385,18811,2678,"midlaner"
2,0.627636506997832,499,179,559,0,29,13751,15776,1184,"carry"
3,0.551744529863986,464,139,581,0,57,11486,14670,913,"carry"
1,0.313621131480386,161,10,156,4,1,3047,4695,326,"roaming_support"
2,0.758722649319929,426,179,352,0,24,8499,12425,3509,"midlaner"
1,0.387344766410408,177,13,179,9,5,2617,5162,862,"offlaner"
1,0.703528484131677,398,164,310,0,17,8230,11608,1414,"carry"
3,0.571259609698403,281,88,264,0,8,6899,8195,813,"offlaner"
2,0.281884486497142,249,14,199,2,1,2230,7262,60,"midlaner"
1,0.333333333333333,279,41,263,10,13,5615,8137,353,"offlaner"
1,0.797161442933176,649,244,687,0,35,15553,18929,1374,"midlaner"
2,0.620145870293712,517,190,513,0,51,7918,15079,4129,"carry"
3,0.555686970234575,508,168,559,0,19,6686,14816,476,"carry"
1,0.374728957224522,245,48,202,4,7,2986,7325,176,"offlaner"
4,0.408239700374532,221,29,177,10,10,6601,6607,146,"roaming_support"
1,0.976345357776464,564,258,525,0,51,8895,16863,1938,"carry"
2,0.719495367632565,409,181,360,0,51,7446,12229,442,"carry"
3,0.618568894145476,333,126,344,0,47,9208,9956,271,"offlaner"
2,0.430711610486891,352,58,349,4,13,5318,10524,159,"midlaner"
2,0.939483540311453,749,271,599,0,86,17197,22395,7329,"midlaner"
1,0.751429134634339,682,286,641,0,118,11423,20391,5095,"carry"
1,0.414941849004534,304,44,342,9,21,3051,9089,802,"offlaner"
3,0.534003548196334,363,102,355,0,36,3783,10853,575,"offlaner"
3,0.444707273802484,358,144,281,7,17,9663,18914,564,"offlaner"
4,0.426177804060714,349,49,308,14,15,9785,18438,378,"roaming_support"
1,0.821998817267889,1019,870,522,0,134,50052,53837,8973,"carry"
2,0.835403114527893,549,279,524,0,102,23569,29005,3572,"midlaner"
3,0.533806426177804,434,212,540,0,134,19386,22929,1285,"offlaner"
2,0.273802483737433,309,89,417,3,17,5089,16325,0,"midlaner"
2,0.503055391287207,520,352,520,0,61,28491,27473,0,"midlaner"
1,0.555489848216046,603,483,520,0,102,26831,31858,1502,"carry"
1,0.361127537945989,316,89,357,19,33,16777,16695,0,"roaming_support"
3,0.585452395032525,379,249,345,0,25,14180,20023,148,"midlaner"
